ZIP_CODE,STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,CREATED_AT
68940,Nebraska,Molina Healthcare,1142,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,29,5,0,5,0,2026-03-02 08:27:02.243 -0500
69348,Nebraska,Molina Healthcare,1142,,,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,87,6,0,9,0,2026-03-02 08:27:02.243 -0500
75125,Texas,Molina Healthcare,1142,,,139,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,190,179,10,0,57,0,2026-03-02 08:27:02.243 -0500
75789,Texas,Molina Healthcare,1142,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,35,9,0,21,0,2026-03-02 08:27:02.243 -0500
76426,Texas,Molina Healthcare,1142,,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,80,0,0,44,0,2026-03-02 08:27:02.243 -0500
98580,Washington,Medical Mutual,1129,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
77363,Texas,Molina Healthcare,1142,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,2026-03-02 08:27:02.243 -0500
01011,Massachusetts,Molina Healthcare,1142,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
77901,Texas,Molina Healthcare,1142,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,3,0,2026-03-02 08:27:02.243 -0500
02632,Massachusetts,Molina Healthcare,1142,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2026-03-02 08:27:02.243 -0500
78253,Texas,Molina Healthcare,1142,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,16,0,2026-03-02 08:27:02.243 -0500
06073,Connecticut,Molina Healthcare,1142,,,269,121,108,3,10,12,0,83,0,4,13,0,2,11,0,0,148,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
79915,Texas,Molina Healthcare,1142,,,527,32,32,0,0,0,0,32,0,0,0,0,0,0,0,0,97,877,877,0,0,479,0,2026-03-02 08:27:02.243 -0500
06469,Connecticut,Molina Healthcare,1142,,,212,126,114,1,5,24,0,84,0,4,12,0,1,11,0,0,86,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
83840,Idaho,Molina Healthcare,1142,,,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2026-03-02 08:27:02.243 -0500
10022,New York,Molina Healthcare,1142,,,178,3,0,0,0,0,0,0,0,0,3,0,2,1,0,0,3,172,130,9,33,0,0,2026-03-02 08:27:02.243 -0500
84783,Utah,Molina Healthcare,1142,,,17,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,13,11,1,0,1,0,2026-03-02 08:27:02.243 -0500
10590,New York,Molina Healthcare,1142,,,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,79,8,27,0,0,2026-03-02 08:27:02.243 -0500
85259,Arizona,Molina Healthcare,1142,,,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85,0,0,0,1,0,2026-03-02 08:27:02.243 -0500
12590,New York,Molina Healthcare,1142,,,7,7,3,0,0,3,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
87516,New Mexico,Molina Healthcare,1142,,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
14103,New York,Molina Healthcare,1142,,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,3,11,0,0,2026-03-02 08:27:02.243 -0500
89148,Nevada,Molina Healthcare,1142,,,2406,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2400,2285,116,0,0,0,2026-03-02 08:27:02.243 -0500
14715,New York,Molina Healthcare,1142,,,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,107,8,19,0,0,2026-03-02 08:27:02.243 -0500
90302,California,Molina Healthcare,1142,,,66,29,29,0,0,0,0,29,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
18969,Pennsylvania,Molina Healthcare,1142,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
92024,California,Molina Healthcare,1142,,,3784,352,352,0,0,0,0,352,0,0,0,0,0,0,0,0,451,3073,3073,0,0,92,0,2026-03-02 08:27:02.243 -0500
22503,Virginia,Molina Healthcare,1142,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
92405,California,Molina Healthcare,1142,,,1676,134,134,0,0,0,0,134,0,0,0,0,0,0,0,0,37,1558,1558,0,0,53,0,2026-03-02 08:27:02.243 -0500
22931,Virginia,Molina Healthcare,1142,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2026-03-02 08:27:02.243 -0500
93701,California,Molina Healthcare,1142,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
94547,California,Molina Healthcare,1142,,,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
24015,Virginia,Molina Healthcare,1142,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1,0,2026-03-02 08:27:02.243 -0500
98107,Washington,Molina Healthcare,1142,,,1799,197,197,0,0,0,0,197,0,0,0,0,0,0,0,0,46,1556,1493,51,12,0,0,2026-03-02 08:27:02.243 -0500
24153,Virginia,Molina Healthcare,1142,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
98816,Washington,Molina Healthcare,1142,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2026-03-02 08:27:02.243 -0500
