STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,OVERALL_PCT,COMMERCIAL_PCT,COMMERCIAL_FI_PCT,FI_HMO_PCT,FI_PPO_PCT,FI_POS_PCT,FI_INDEMNITY_PCT,PUBLIC_HIX_INDIVIDUAL_PCT,PUBLIC_HIX_SHOP_PCT,FI_CDHP_PCT,COMMERCIAL_SI_PCT,SI_HMO_PCT,SI_PPO_PCT,SI_POS_PCT,SI_INDEMNITY_PCT,SI_CDHP_PCT,MEDICARE_ADVANTAGE_PART_C_PCT,PAYER_MANAGED_MEDICAID_PCT,MGD_MEDICAID_TITLE_19_PCT,MGD_MEDICAID_TITLE_21_CHIP_PCT,MGD_MEDICAID_SPECIALTY_PROGRAMS_PCT,MANAGED_MEDICAID_DUAL_ELIGIBLE_PCT,TRICARE_PCT,CREATED_AT
Alaska,Horizon Blue Cross Blue Shield of New Jersey,1099,Horizon Blue Cross Blue Shield,324,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Highmark,1095,Highmark Blue Cross Blue Shield,321,1202,1195,36,0,36,0,0,0,0,1,1159,0,1153,0,6,42,7,0,0,0,0,0,0,0.3200,0.3200,0.0300,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0100,0.4700,0.0000,0.5600,0.0000,0.0200,0.0700,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Highmark,1095,,,1281,1274,57,0,56,0,1,0,0,1,1217,0,1211,0,6,42,7,0,0,0,0,0,0,0.3400,0.3400,0.0500,0.0000,0.0600,0.0000,0.7800,0.0000,0.0000,0.0100,0.4900,0.0000,0.5800,0.0000,0.0200,0.0700,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Highmark,1095,Highmark Blue Cross Blue Shield Delaware,97,13,13,6,0,6,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Highmark,1095,Highmark Blue Cross Blue Shield West Virginia,412,12,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Highmark,1095,Highmark Blue Shield Northeastern New York,874,3,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Highmark,1095,Highmark Blue Cross Blue Shield Western New York,873,51,51,0,0,0,0,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,0,0,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,HealthPartners (MN),1089,,,143,143,42,32,10,0,0,0,0,3,101,0,101,0,0,3,0,0,0,0,0,0,0,0.0400,0.0400,0.0300,7.7500,0.0100,0.0000,0.0000,0.0000,0.0000,0.0300,0.0400,0.0000,0.0500,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,HealthPartners (MN),1089,HealthPartners (MN),307,143,143,42,32,10,0,0,0,0,3,101,0,101,0,0,3,0,0,0,0,0,0,0,0.0400,0.0400,0.0300,7.7500,0.0100,0.0000,0.0000,0.0000,0.0000,0.0300,0.0400,0.0000,0.0500,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Health Care Service Corporation,1074,BlueCross BlueShield New Mexico,88,155,155,3,0,3,0,0,0,0,0,152,0,148,0,4,1,0,0,0,0,0,0,0,0.0400,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0700,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
